energy_production,nbr_on,primary_up_on,primary_up_off,primary_down,secondary_up_on,secondary_up_off,secondary_down,tertiary1_up_on,tertiary1_up_off,tertiary1_down
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.696788893088519e-13,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,926.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,557.9999999999997,0.0,0.0,0.0,0.0
705.9999999999907,8.0,69.99999999999845,0.0,0.0,0.0,1834.0000000000048,317.9999999999962,0.0,0.0,0.0
62.999999999994486,1.0,0.0,0.0,0.0,34.000000000000355,2610.0000000000045,14.499999999997078,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0000000000005,0.0,0.0,0.0,0.0
1.4955406989842377e-12,0.0,6.320203467755315e-13,0.0,0.0,8.635203522087066e-13,2699.9999999999973,0.0,0.0,0.0,0.0
-1.1191048088221578e-12,0.0,1.1191048088221578e-12,0.0,0.0,2.41229258790554e-12,2699.9999999999973,-2.325251102774928e-12,0.0,0.0,0.0
280.4999999999998,3.0,10.500000000000226,0.0,-1.3726980660368478e-13,0.0,2417.4999999999936,134.99999999999997,0.0,0.0,0.0
485.0,10.0,35.00000000000003,0.0,-5.786998541584151e-14,450.0,81.99999999999628,0.0,0.0,0.0,0.0
254.9999999999996,5.0,5.00000000000211,0.0,0.0,225.0000000000014,600.9999999999981,-4.129183765252261e-13,0.0,0.0,0.0
339.50000000000097,7.0,315.00000000000045,0.0,-1.5046196208118794e-12,24.49999999999697,66.9999999999996,1.3888796499801964e-12,0.0,0.0,0.0
298.99999999999704,6.0,270.0000000000004,0.0,0.0,0.0,0.0,-4.629598833267322e-13,0.0,0.0,0.0
204.99999999999852,4.0,0.0,0.0,0.0,0.0,0.0,-2.3147994166336603e-13,0.0,0.0,0.0
280.9999999999995,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.50000000000187,1.0,-7.754062041672811e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
