energy_generation,nodu,generation_reserve_up_primary_on,generation_reserve_down_primary,generation_reserve_up_secondary_on,generation_reserve_down_secondary,generation_reserve_up_tertiary1_on,generation_reserve_down_tertiary1,generation_reserve_up_tertiary1_off
115.6000032436,68.0,84.32000064600001,0.0,25.1600003264,0.0,115.6000032436,115.6000032436,0
113.9000031959,67.0,83.0800006365,0.0,24.7900003216,0.0,113.9000031959,113.9000031959,0
113.9000031959,67.0,83.0800006365,0.0,24.7900003216,0.0,113.9000031959,113.9000031959,0
113.9000031959,67.0,83.0800006365,0.0,24.7900003216,0.0,113.9000031959,113.9000031959,0
112.2000031482,66.0,81.84000062700001,0.0,24.4200003168,0.0,112.2000031482,112.2000031482,0
112.2000031482,66.0,81.84000062700001,0.0,24.4200003168,0.0,112.2000031482,112.2000031482,0
112.2000031482,66.0,81.84000062700001,0.0,24.4200003168,0.0,112.2000031482,112.2000031482,0
112.2000031482,66.0,81.84000062700001,0.0,24.4200003168,0.0,112.2000031482,112.2000031482,0
112.2000031482,66.0,81.84000062700001,0.0,24.4200003168,0.0,112.2000031482,112.2000031482,0
112.2000031482,66.0,81.84000062700001,0.0,24.4200003168,0.0,112.2000031482,112.2000031482,0
112.2000031482,66.0,81.84000062700001,0.0,24.4200003168,0.0,112.2000031482,112.2000031482,0
110.5000031005,65.0,80.6000006175,0.0,24.050000312,0.0,110.5000031005,110.5000031005,0
108.8000030528,64.0,79.360000608,0.0,23.6800003072,0.0,108.8000030528,108.8000030528,0
108.8000030528,64.0,79.360000608,0.0,23.6800003072,0.0,108.8000030528,108.8000030528,0
108.8000030528,64.0,79.360000608,0.0,23.6800003072,0.0,108.8000030528,108.8000030528,0
108.8000030528,64.0,79.360000608,0.0,23.6800003072,0.0,108.8000030528,108.8000030528,0
108.8000030528,64.0,79.360000608,0.0,23.6800003072,0.0,108.8000030528,108.8000030528,0
107.10000300509999,63.0,78.12000059850001,0.0,23.3100003024,0.0,107.10000300509999,107.10000300509999,0
107.10000300509999,63.0,78.12000059850001,0.0,23.3100003024,0.0,107.10000300509999,107.10000300509999,0
107.10000300509999,63.0,78.12000059850001,0.0,23.3100003024,0.0,107.10000300509999,107.10000300509999,0
17.415510064499983,63.0,78.12000059850001,0.0,23.3100003024,0.0,107.10000300509999,17.415510064499983,0
17.415510064499983,63.0,78.12000059850001,0.0,23.3100003024,0.0,107.10000300509999,17.415510064499983,0
17.415510064499983,63.0,78.12000059850001,0.0,23.3100003024,0.0,107.10000300509999,17.415510064499983,0
17.415510064499927,63.0,78.12000059850001,0.0,23.3100003024,0.0,107.10000300509999,17.415510064499927,0
30.77904307330016,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,30.77904307330016,0
30.7790430733001,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,30.7790430733001,0
30.7790430733001,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,30.7790430733001,0
30.779043073299988,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,30.779043073299988,0
11.779043073300102,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,11.779043073300102,0
11.779043073300102,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,11.779043073300102,0
11.779043073299988,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,11.779043073299988,0
11.779043073300102,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,11.779043073300102,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
117.30000329129999,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,117.30000329129999,0
115.6000032436,68.0,84.32000064600001,0.0,25.1600003264,0.0,115.6000032436,115.6000032436,0
115.6000032436,68.0,84.32000064600001,0.0,25.1600003264,0.0,115.6000032436,115.6000032436,0
0.0,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,0.0,0
0.0,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,0.0,0
0.0,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,0.0,0
0.0,69.0,85.5600006555,0.0,25.5300003312,0.0,117.30000329129999,0.0,0
0.0,71.0,88.0400006745,0.0,26.2700003408,0.0,120.70000338669999,0.0,0
0.0,71.0,88.0400006745,0.0,26.2700003408,0.0,120.70000338669999,0.0,0
0.0,72.0,89.28000068400002,0.0,26.6400003456,0.0,122.40000343439999,0.0,0
0.0,72.0,89.28000068400002,0.0,26.6400003456,0.0,122.40000343439999,0.0,0
0.0,72.0,89.28000068400002,0.0,26.6400003456,0.0,122.40000343439999,0.0,0
0.0,74.0,91.760000703,0.0,27.3800003552,0.0,125.8000035298,0.0,0
0.0,74.0,91.760000703,0.0,27.3800003552,0.0,125.8000035298,0.0,0
