Optim_1,Optim_2,Temps
146069629.55088177,146225575.20509958,18.779186399999162
65939523.66277241,66118956.80508183,17.436597900003107
74012946.4654015,74048126.3523309,18.552581799998734
75450698.5369505,75460885.9289764,22.620083000001614
66989452.474063575,67308755.1961645,22.671783499998128
71552088.83066574,71763979.25509824,18.016117099999974
64996064.60098377,65050553.84871534,15.909763300001941
65981900.67044062,65994388.61011915,16.476108199996816
58793292.589454316,58889829.26824614,17.57001570000284
66836917.60101779,66949967.20712239,16.37368069999866
