energy_production_peak,nbr_on,reserve_primary_up_on_peak,reserve_primary_down_peak,reserve_tertiary2_up_on_peak,reserve_tertiary2_up_off_peak,reserve_tertiary2_down_peak
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1012.9999999999993,0.0
0.0,0.0,0.0,0.0,0.0,644.9999999999993,0.0
387.4999999999999,7.0,0.0,0.0,291.49999999999994,1969.499999999999,48.0
0.0,0.0,0.0,0.0,0.0,2700.0,0.0
0.0,0.0,0.0,0.0,0.0,2700.0,0.0
0.0,0.0,0.0,0.0,0.0,2700.0000000000005,0.0
0.0,0.0,0.0,0.0,0.0,2700.0000000000005,0.0
300.00000000000034,4.0,87.99999999999966,0.0,0.0,2340.0,106.00000000000038
582.0,12.0,0.0,0.0,532.0000000000007,0.0,0.0
339.5,7.0,24.499999999999993,5.4904635558358314e-14,315.0,491.49999999999994,0.0
436.5,9.0,0.0,0.0,399.9999999999991,0.0,5.4904635558358314e-14
339.5,7.0,0.0,0.0,291.5000000000002,0.0,0.0
194.0,4.0,0.0,0.0,73.00000000000045,0.0,0.0
194.0,4.0,149.0000000000006,0.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,70.99999999999864,0.0
0.0,0.0,0.0,0.0,0.0,315.9999999999977,0.0
0.0,0.0,0.0,0.0,0.0,831.9999999999975,0.0
639.0,8.0,0.0,0.0,136.99999999999997,1551.9999999999973,251.0
146.49999999999997,3.0,135.0,0.0,9.500000000000044,1242.4999999999989,1.0
0.0,0.0,0.0,0.0,0.0,523.9999999999973,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.5,3.0,1.500000000001478,0.0,135.0,0.0,0.0
242.49999999999997,5.0,17.50000000000108,0.0,224.99999999999997,0.0,0.0
388.0,8.0,307.9999999999992,0.0,0.0,0.0,0.0
533.5,11.0,451.0,0.0,8.5,0.0,0.0
533.5,11.0,457.0,0.0,20.5,0.0,0.0
533.5,11.0,0.0,0.0,421.5000000000006,0.0,0.0
533.5,11.0,6.500000000001364,0.0,494.99999999999994,0.0,0.0
388.0,8.0,324.00000000000006,0.0,0.0,0.0,0.0
291.0,6.0,270.0,0.0,17.999999999999773,0.0,0.0
145.5,3.0,102.50000000000121,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
