energy_production_base,nbr_on,reserve_primary_up_on_base,reserve_primary_up_off,reserve_primary_down_base,Fonction_objectif
7909.0,13.0,1035.0,650.0,2145.0,23155416.149500214
8018.0,13.0,926.0,650.0,2367.0,23155416.149500214
8165.0,13.0,779.0,650.0,2535.0,23155416.149500214
8298.0,13.0,646.0,650.0,2924.0,23155416.149500214
8478.0,13.0,466.0,650.0,2981.0,23155416.149500214
8581.0,13.0,363.0,650.0,3288.0,23155416.149500214
8561.0,13.0,383.0,650.0,3454.0,23155416.149500214
8256.0,12.0,0.0,1300.0,3240.0,23155416.149500214
8256.0,12.0,0.0,1299.9999999999998,3008.0,23155416.149500214
8256.0,12.0,0.0,1299.9999999999998,2674.0,23155416.149500214
8246.5,12.0,9.49999999999946,1300.0,2674.0,23155416.149500214
8190.000000000001,12.0,66.00000000000026,1300.0,2313.0,23155416.149500214
7878.0,12.0,378.0,1300.0,2202.0,23155416.149500214
7746.0,12.0,510.0,1091.0,1978.0,23155416.149500214
7692.0,12.0,564.0,1105.0,2062.0,23155416.149500214
7540.0,12.0,716.0,727.0,1783.0,23155416.149500214
