Optim_1,Optim_2,post-traitement,temps_total,temps_lecture_mps,temps_conversion_fast,temps_load_bases,temps_opti1,temps_get_bases,temps_lecture_resultat,temps_creation_ensemble_semaine,temps_heuristique_arrondi,temps_heuristique_dmin,temps_changement_borne,temps_opti2,heure_defaillance_prod,heure_defaillance_fcr_up,heure_defaillance_fcr_down,heure_defaillance_afrr_up,heure_defaillance_affr_down,heure_defaillance_mfrr_up,heure_defaillance_mfrr_down,heure_defaillance_rr_up,heure_defaillance_rr_down,quantite_defaillance_prod,quantite_defaillance_fcr_up,quantite_defaillance_fcr_down,quantite_defaillance_afrr_up,quantite_defaillance_affr_down,quantite_defaillance_mfrr_up,quantite_defaillance_mfrr_down,quantite_defaillance_rr_up,quantite_defaillance_rr_down
1142839570.7841847,1165924425.5312676,1231518835.0312676,32.147639,8.9662784,6.177050399999999,8.000000022434506e-07,3.0460083000000004,1.1763782999999997,1.2469919000000012,4.325251799999997,0.1718970000000013,0.04001870000000096,2.570129599999998,3.9912861,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
977081321.2631557,1003528309.382026,1076708033.9820259,30.354706999999998,7.8283653000000015,5.716930000000005,0.8881067999999956,2.7068613,1.2534443999999993,1.3032606000000015,4.327252999999999,0.18726699999999852,0.04094560000000058,2.5686570000000017,3.070802899999997,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1067711414.4864304,1095746835.379273,1172505948.879273,29.948565000000002,8.198728400000007,6.0452113999999995,0.8081718999999907,2.0920209000000085,1.3361052999999998,1.2925779999999918,4.509241299999999,0.1713969999999989,0.03620180000000062,2.5679236000000003,2.4449347000000046,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1049219325.0387158,1078607184.3663387,1135592708.1663387,29.791149700000005,8.268723399999999,5.8188861,0.8163710999999978,2.0401442999999944,1.0580214000000012,1.3930621000000087,4.324286000000001,0.24207529999999622,0.03718870000000152,2.5407459999999986,2.7628883999999942,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
876577069.4458592,936600875.096365,980477850.596365,30.507048400000002,8.197321099999996,6.083767399999999,0.8196882000000016,2.1420730000000106,1.0636942999999803,1.4202343999999982,4.337102299999998,0.23728890000001002,0.04254700000001321,2.6837764999999933,2.982167000000004,0,0,0,0,0,0,4,8,4,0.0,0,0,0,0,0.0,612.7523716632004,1892.7523716632004,1240.0
898921695.4401572,951187972.1164353,999939230.9164354,29.077366299999994,8.103505899999988,5.793376899999998,0.8274409999999932,1.769809500000008,1.1285455999999954,1.343258899999995,4.347406500000005,0.208868300000006,0.03565660000001003,2.5778938999999923,2.426344699999987,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
694715984.2995702,746161908.4602995,789942060.0602995,32.86518430000001,8.3952022,6.428455499999984,0.975057100000015,2.325644899999986,0.985250700000023,1.5426652999999817,4.5643473000000085,0.21180530000000886,0.04434469999998214,3.4197123000000147,3.4586307999999804,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1070805291.1953757,1105344316.2488558,1173523590.0488558,31.608620899999977,8.742633699999999,5.994012499999997,1.1176068000000043,2.6397310999999775,0.9857979000000228,1.3008425999999815,4.307902900000016,0.17676819999999793,0.037948599999992894,2.6031103999999914,3.2056412999999964,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1239564102.774252,1257789948.8476188,1341449424.2476187,31.22172280000001,8.17041100000003,6.057167199999981,0.9502671999999848,2.7670044999999845,0.9539739000000509,1.4400006999999846,4.341452199999992,0.17267320000001973,0.03762860000000501,2.6103530999999975,3.2005320999999753,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1581603983.0578413,1598574910.657208,1668661299.657208,30.563913599999978,8.099130599999967,5.940581100000031,0.9489229000000137,2.411620399999947,1.1397012000000473,1.2646824999999922,4.320783800000015,0.17496359999995548,0.0388753999999949,2.6966470000000413,3.008352899999977,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1055880972.1644478,1079264953.3157272,1146766842.6157272,30.801971400000014,8.062994100000026,5.974207799999988,0.9375582999999779,2.5162622000000283,0.9835294999999746,1.2644837999999936,4.509648200000015,0.17112589999999273,0.03736359999999195,2.59148620000002,3.238181999999995,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1352540928.966821,1376095575.7458541,1466755240.245854,30.430384600000025,8.090971000000025,5.69816579999997,0.8648246999999856,2.7423705000000496,1.0564432999999553,1.2582884000000263,4.305578200000014,0.17542069999996102,0.03830590000001166,2.829752400000018,2.834873499999958,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
924631014.7956619,949752208.1009283,1006843368.3009284,31.48070759999996,8.146479799999952,5.9213892000000214,0.8687997999999766,2.8100851000000375,1.1294891000000007,1.2779309999999668,4.34854660000002,0.17816119999997682,0.03780570000003536,2.706590800000015,3.5097829999999703,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1415985703.8213336,1472702519.2414613,1545593533.8414612,33.75577240000001,8.649266100000034,6.625146299999983,1.086744699999997,2.840683200000001,1.0122197000000028,1.296265099999971,4.889147000000037,0.17367689999997538,0.04013030000004392,2.6713395999999534,3.8983097999999927,0,0,0,0,0,0,12,11,20,0.0,0,0,0,0,0.0,5782.788486223602,3167.1255076862035,11136.7161495632
1451827059.522992,1470141473.9325888,1545231064.4325888,31.551227900000015,8.838000399999999,6.3037319000000025,0.8751942000000099,2.458055999999999,0.9218053000000168,1.4145652999999925,4.350194599999952,0.17468930000001137,0.037867500000004384,2.5687103000000207,3.067736200000013,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1801122041.0250435,1818973728.796184,1890019887.9961839,32.67014610000001,8.599999099999991,6.011531700000035,0.9139616999999589,2.713863500000002,1.0907152999999994,1.3205854000000272,4.7360051999999655,0.19133510000000342,0.04251220000003286,2.787636599999985,3.6568988999999874,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1945444566.7693782,1961537524.8108926,2043641970.6108925,32.46480289999994,8.760846500000014,6.18380719999999,0.888163899999995,2.528360399999997,0.9941999000000123,1.425571800000057,5.106746599999951,0.1842947999999751,0.03697810000005575,2.717596999999955,3.097585699999968,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1442753527.2186222,1460100704.4999025,1537898680.4999022,30.151656400000093,8.103286600000047,5.73556259999998,0.9102133000000094,2.208228599999984,1.0625086999999667,1.2651943000000756,4.562119800000005,0.1925139999999601,0.04284399999994548,2.665881900000045,2.842043399999966,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
2250580115.2896085,2264346869.0364714,2305235628.9364715,32.06272839999997,8.321234199999935,6.043084099999987,0.8611441000000468,3.252472099999977,1.09069599999998,1.2637884000000668,4.375505299999986,0.17910480000000462,0.0365146999999979,2.669935199999941,3.43546850000007,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
2687919805.702688,2698681337.990657,2733259579.790657,31.36709099999996,8.121443900000031,5.953974099999982,1.1290224000000535,2.9500273999999536,0.9845072000000528,1.2687018999999964,4.320316100000014,0.17578470000000834,0.036725899999964895,2.559788499999968,3.33834539999998,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
2867144789.5173163,2876603206.260576,2925434489.260576,31.213156000000026,8.21218399999998,6.037548100000095,0.9378639999999905,2.838056999999935,0.961330299999986,1.439203099999986,4.307888200000093,0.17788580000001275,0.04122129999996105,2.5698546999999508,3.1360174000000143,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
