energy_production,nbr_on,nbr_off_primary,reserve_primary_up_on,reserve_primary_up_off,reserve_primary_down,nbr_off_secondary,reserve_secondary_up_on,reserve_secondary_up_off,reserve_secondary_down,Fonction_objectif
112.0,1.1199999999999999,0.37777777777777777,0.0,34.0,13.0,0.27368421052631575,0.0,26.0,0.0,2629400.0
140.0,1.4,0.43333333333333335,0.0,39.0,13.999999999999998,0.30526315789473685,0.0,29.000000000000004,0.0,2629400.0
91.0,0.91,0.32222222222222224,0.0,29.000000000000004,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
77.0,0.77,0.3,0.0,27.0,11.0,0.23157894736842102,0.0,22.0,0.0,2629400.0
110.0,1.1,0.3666666666666667,0.0,33.0,13.0,0.27368421052631575,0.0,26.0,0.0,2629400.0
56.99999999999999,0.57,0.25555555555555554,0.0,23.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
81.0,0.81,0.3111111111111111,0.0,28.0,11.0,0.23157894736842102,0.0,22.0,0.0,2629400.0
124.00000000000001,1.2400000000000002,0.39999999999999997,0.0,36.0,13.0,0.28421052631578947,0.0,27.000000000000004,0.0,2629400.0
169.0,1.6900000000000002,0.4888888888888889,0.0,44.0,16.0,0.3368421052631579,0.0,32.0,0.0,2629400.0
255.0,2.55,0.6777777777777778,0.0,61.0,21.0,0.44210526315789467,0.0,42.0,0.0,2629400.0
236.0,2.3600000000000003,0.6333333333333333,0.0,57.0,20.0,0.4210526315789473,0.0,40.0,0.0,2629400.0
326.0,3.2600000000000002,0.8222222222222222,0.0,74.0,24.999999999999996,0.5263157894736842,0.0,50.0,0.0,2629400.0
401.0,4.01,0.9777777777777777,0.0,88.0,29.0,0.6105263157894737,0.0,58.00000000000001,0.0,2629400.0
423.0,4.23,1.0222222222222221,0.0,92.0,30.0,0.6421052631578946,0.0,61.0,0.0,2629400.0
518.0,5.18,1.2222222222222223,0.0,110.00000000000001,36.0,0.7578947368421053,0.0,72.0,0.0,2629400.0
440.99999999999994,4.41,1.0555555555555556,0.0,95.0,31.000000000000004,0.6631578947368421,0.0,63.0,0.0,2629400.0
343.0,3.43,0.8555555555555556,0.0,77.0,26.0,0.5473684210526315,0.0,52.0,0.0,2629400.0
225.0,2.25,0.6111111111111112,0.0,55.00000000000001,19.0,0.41052631578947363,0.0,39.0,0.0,2629400.0
248.00000000000003,2.4800000000000004,0.6555555555555556,0.0,59.0,20.0,0.43157894736842095,0.0,41.0,0.0,2629400.0
224.0,2.2399999999999998,0.6,0.0,54.0,19.0,0.4,0.0,38.0,0.0,2629400.0
214.00000000000003,2.14,0.5888888888888889,0.0,53.0,18.0,0.38947368421052625,0.0,37.0,0.0,2629400.0
165.0,1.6500000000000001,0.4888888888888889,0.0,44.0,16.0,0.3368421052631579,0.0,32.0,0.0,2629400.0
163.0,1.6300000000000001,0.4777777777777778,0.0,43.0,16.0,0.3368421052631579,0.0,32.0,0.0,2629400.0
169.0,1.6900000000000002,0.4888888888888889,0.0,44.0,16.0,0.3368421052631579,0.0,32.0,0.0,2629400.0
105.99999999999999,1.0599999999999998,0.25555555555555554,0.0,23.0,9.0,0.2,0.0,19.0,0.0,2629400.0
82.0,0.8200000000000001,0.22222222222222224,0.0,20.0,9.0,0.18947368421052632,0.0,18.0,0.0,2629400.0
59.0,0.5900000000000001,0.19999999999999998,0.0,18.0,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
35.0,0.35,0.17777777777777778,0.0,16.0,6.999999999999999,0.15789473684210525,0.0,15.0,0.0,2629400.0
35.0,0.35,0.15555555555555556,0.0,14.0,6.999999999999999,0.14736842105263154,0.0,14.0,0.0,2629400.0
35.0,0.35,0.15555555555555556,0.0,14.0,6.999999999999999,0.14736842105263154,0.0,14.0,0.0,2629400.0
35.0,0.35,0.16666666666666669,0.0,15.000000000000002,6.999999999999999,0.15789473684210525,0.0,15.0,0.0,2629400.0
35.0,0.35,0.17777777777777778,0.0,16.0,6.999999999999999,0.15789473684210525,0.0,15.0,0.0,2629400.0
117.0,1.1700000000000002,0.26666666666666666,0.0,24.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
159.0,1.5900000000000003,0.3111111111111111,0.0,28.0,11.0,0.23157894736842102,0.0,22.0,0.0,2629400.0
181.0,1.81,0.32222222222222224,0.0,29.000000000000004,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
227.0,2.27,0.37777777777777777,0.0,34.0,13.0,0.27368421052631575,0.0,26.0,0.0,2629400.0
297.0,2.97,0.4555555555555556,0.0,41.00000000000001,15.0,0.3157894736842105,0.0,30.0,0.0,2629400.0
374.0,3.74,0.5333333333333333,0.0,48.0,17.0,0.35789473684210527,0.0,34.0,0.0,2629400.0
434.0,4.340000000000001,0.5888888888888889,0.0,53.0,19.0,0.4,0.0,38.0,0.0,2629400.0
393.0,3.93,0.5444444444444445,0.0,49.00000000000001,17.0,0.36842105263157887,0.0,35.0,0.0,2629400.0
269.0,2.6900000000000004,0.4222222222222223,0.0,38.00000000000001,13.999999999999998,0.2947368421052631,0.0,28.0,0.0,2629400.0
158.0,1.58,0.3111111111111111,0.0,28.0,11.0,0.23157894736842102,0.0,22.0,0.0,2629400.0
141.0,1.4100000000000001,0.2888888888888889,0.0,26.000000000000004,10.0,0.22105263157894733,0.0,21.0,0.0,2629400.0
198.0,1.98,0.34444444444444444,0.0,31.0,12.0,0.2526315789473684,0.0,24.0,0.0,2629400.0
147.0,1.4699999999999998,0.2888888888888889,0.0,26.000000000000004,10.0,0.22105263157894733,0.0,21.0,0.0,2629400.0
165.0,1.6500000000000001,0.3111111111111111,0.0,28.0,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
148.0,1.4799999999999998,0.2888888888888889,0.0,26.000000000000004,10.0,0.22105263157894733,0.0,21.0,0.0,2629400.0
91.0,0.91,0.23333333333333334,0.0,21.0,9.0,0.18947368421052632,0.0,18.0,0.0,2629400.0
110.0,1.1,0.2888888888888889,0.0,26.000000000000004,10.0,0.22105263157894733,0.0,21.0,0.0,2629400.0
96.0,0.9600000000000001,0.26666666666666666,0.0,24.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
62.00000000000001,0.6200000000000001,0.22222222222222224,0.0,20.0,9.0,0.18947368421052632,0.0,18.0,0.0,2629400.0
46.0,0.46,0.19999999999999998,0.0,18.0,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
82.0,0.8200000000000001,0.25555555555555554,0.0,23.0,9.0,0.2,0.0,19.0,0.0,2629400.0
101.0,1.01,0.2777777777777778,0.0,25.0,10.0,0.22105263157894733,0.0,21.0,0.0,2629400.0
185.0,1.85,0.39999999999999997,0.0,36.0,13.0,0.28421052631578947,0.0,27.000000000000004,0.0,2629400.0
223.0,2.23,0.4555555555555556,0.0,41.00000000000001,15.0,0.3157894736842105,0.0,30.0,0.0,2629400.0
318.0,3.1800000000000006,0.5888888888888889,0.0,53.0,18.0,0.38947368421052625,0.0,37.0,0.0,2629400.0
361.0,3.6100000000000003,0.6444444444444445,0.0,58.00000000000001,20.0,0.4210526315789473,0.0,40.0,0.0,2629400.0
379.0,3.79,0.6666666666666667,0.0,60.00000000000001,21.0,0.44210526315789467,0.0,42.0,0.0,2629400.0
431.0,4.3100000000000005,0.7333333333333334,0.0,66.0,22.0,0.4736842105263157,0.0,45.0,0.0,2629400.0
450.0,4.5,0.7666666666666666,0.0,69.0,23.0,0.4947368421052631,0.0,47.0,0.0,2629400.0
487.0,4.87,0.8111111111111111,0.0,73.0,24.999999999999996,0.5263157894736842,0.0,50.0,0.0,2629400.0
576.0,5.76,0.9333333333333333,0.0,84.0,27.999999999999996,0.5894736842105261,0.0,56.0,0.0,2629400.0
531.0,5.3100000000000005,0.8777777777777779,0.0,79.00000000000001,26.0,0.5578947368421052,0.0,52.99999999999999,0.0,2629400.0
459.99999999999994,4.6,0.7777777777777778,0.0,70.0,24.0,0.5052631578947367,0.0,48.0,0.0,2629400.0
391.0,3.91,0.6777777777777778,0.0,61.0,21.0,0.44210526315789467,0.0,42.0,0.0,2629400.0
