energy_production_peak,nbr_on,reserve_primary_up_on_peak,reserve_primary_down_peak,reserve_tertiary1_up_on_peak,reserve_tertiary1_up_off_peak,reserve_tertiary1_down_peak
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
572.7333333333273,6.125490196078368,0,0,0,0,0
3.3217872896784684e-13,3.552713678800502e-15,0,0,0,0,0
1.8474111129762607e-13,3.552713678800502e-15,0,0,0,0,0
0.0,0.0,0,0,0,0,0
1.8474111129762607e-13,3.552713678800502e-15,0,0,0,0,0
294.01156069364464,3.144508670520264,0,0,0,0,0
556.9999999999995,11.48453608247422,0,0,0,0,0
317.00000000000153,6.536082474226837,0,0,0,0,0
403.99999999999915,8.329896907216478,0,0,0,0,0
315.49999999999966,6.5051546391752515,0,0,0,0,0
171.4999999999994,3.5360824742267924,0,0,0,0,0
171.4999999999994,3.5360824742267924,0,0,0,0,0
54.99999999999932,1.134020618556687,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
715.3222222222225,7.650505050505054,0,0,0,0,0
195.8777777777782,2.0949494949495,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
140.99999999999918,2.907216494845344,0,0,0,0,0
242.50000000000003,5.000000000000002,0,0,0,0,0
347.99999999999875,7.175257731958738,0,0,0,0,0
496.5000000000007,10.23711340206187,0,0,0,0,0
505.50000000000057,10.422680412371149,0,0,0,0,0
505.5000000000006,10.422680412371149,0,0,0,0,0
517.5000000000013,10.670103092783535,0,0,0,0,0
355.99999999999955,7.340206185567003,0,0,0,0,0
289.4999999999998,5.969072164948449,0,0,0,0,0
124.00000000000021,2.55670103092784,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
44.99999999999924,0.9278350515463762,0,0,0,0,0
138.9999999999996,2.865979381443291,0,0,0,0,0
151.49999999999906,3.1237113402061665,0,0,0,0,0
192.49999999999935,3.969072164948441,0,0,0,0,0
223.50000000000048,4.6082474226804235,0,0,0,0,0
131.99999999999903,2.721649484536063,0,0,0,0,0
34.9999999999991,0.7216494845360639,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
143.99999999999912,2.9690721649484355,0,0,0,0,0
147.99999999999847,3.051546391752546,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
406.49999999999915,8.381443298969055,0,0,0,0,0
0.0,0.0,0,0,0,0,0
26.000000000000348,0.2780748663101642,0,0,0,0,0
3.321787289678468e-13,3.552713678800502e-15,0,0,0,0,0
77.0000000000004,0.8235294117647104,0,0,0,0,0
167.79381443298982,3.2268041237113523,0,0,0,0,0
298.59793814433027,5.7422680412371205,0,0,0,0,0
368.28865979381504,7.082474226804135,0,0,0,0,0
402.0618556701037,7.73195876288661,0,0,0,0,0
470.6804123711345,9.051546391752577,0,0,0,0,0
446.0000000000013,8.525773195876273,0,0,0,0,0
513.0000000000023,7.257731958762894,0,0,0,0,0
337.99999999999966,4.77319587628863,0,0,0,0,0
173.00000000000017,1.8502673796791467,0,0,0,0,0
25.999999999999183,0.27807486631015177,0,0,0,0,0
172.4555555555593,1.844444444444485,0,0,0,0,0
58.17777777778155,0.6222222222222626,0,0,0,0,0
330.0000000000017,6.804123711340242,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
51.49999999999877,1.0618556701030677,0,0,0,0,0
251.99999999999935,5.195876288659782,0,0,0,0,0
418.50000000000006,8.628865979381446,0,0,0,0,0
576.9999999999997,11.896907216494839,0,0,0,0,0
839.9999999999999,17.319587628865982,0,0,0,0,0
958.4999999999997,19.76288659793814,0,0,0,0,0
846.9999999999998,17.463917525773194,0,0,0,0,0
628.0000000000011,12.948453608247448,0,0,0,0,0
911.0000000000011,18.7835051546392,0,0,0,0,0
1090.9999999999989,22.494845360824723,0,0,0,0,0
912.4999999999992,18.814432989690708,0,0,0,0,0
809.0,16.68041237113402,0,0,0,0,0
477.50000000000006,9.84536082474227,0,0,0,0,0
264.9999999999985,5.463917525773166,0,0,0,0,0
101.49999999999977,2.092783505154635,0,0,0,0,0
101.49999999999979,2.0927835051546353,0,0,0,0,0
0.0,0.0,0,0,0,0,0
