energy_generation,nodu,generation_reserve_up_primary_on,generation_reserve_down_primary,generation_reserve_up_secondary_on,generation_reserve_down_secondary,generation_reserve_up_tertiary1_on,generation_reserve_down_tertiary1,generation_reserve_up_tertiary1_off
2118.2064082392,12.0,58.67999935399996,0.0,471.9400011273001,0.0,369.3600082392,369.3600082392,0
2118.2064082392,12.0,59.91999936349998,0.0,486.11000120410006,0.0,369.3600082392,369.3600082392,0
2118.2064082392,12.0,0.0,0.0,449.11000120410006,0.0,369.3600082392,369.3600082392,0
2179.6167844739903,12.0,0.0,0.0,449.11000120410006,61.41037623479042,369.3600082392,369.3600082392,0
2118.2064082392,12.0,0.0,0.0,316.68000113690005,0.0,369.3600082392,369.3600082392,0
2118.2064082392,12.0,0.0,0.0,318.48000120890003,0.0,369.3600082392,369.3600082392,0
2118.2064082392,12.0,0.0,0.0,328.68000113690005,0.0,369.3600082392,369.3600082392,0
2118.2064082392,12.0,0.0,0.0,328.6800011369001,0.0,369.3600082392,369.3600082392,0
2361.2064082392,12.0,0.0,0.0,444.6800011369001,243.0,369.3600082392,369.3600082392,0
2361.2064082392,12.0,0.0,0.0,446.48000120890003,243.0,369.3600082392,369.3600082392,0
2361.2064082392,12.0,0.0,0.0,458.48000120890003,242.99999999999997,369.3600082392,369.3600082392,0
2361.2064082392,12.0,0.0,0.0,458.85000121370007,243.0,369.3600082392,369.3600082392,0
2347.2064082392,12.0,0.0,0.0,529.2200012185001,228.99999999999997,369.3600082392,369.3600082392,0
2347.2064082392,12.0,0.0,0.0,515.4200011465001,229.0,369.3600082392,369.3600082392,0
2347.2064082392,12.0,0.0,0.0,527.4200011465001,229.0,369.3600082392,369.3600082392,0
2347.2064082392,12.0,0.0,0.0,529.2200012185001,229.0,369.3600082392,369.3600082392,0
2362.2064082392,12.0,0.0,0.0,678.480010986,244.0,369.3600082392,369.3600082392,0
2362.2064082392,12.0,0.0,0.0,678.480010986,244.0,369.3600082392,369.3600082392,0
2362.2064082392,12.0,0.0,0.0,678.480010986,244.0,369.3600082392,369.3600082392,0
2261.47344898576,12.0,0.0,0.0,678.480010986,143.26704074656004,369.3600082392,369.3600082392,0
2235.47344898576,12.0,49.87999940149999,0.0,609.5899965736,117.26704074656004,369.3600082392,369.3600082392,0
2235.47344898576,12.0,41.153259413499995,0.0,623.3899966456,117.26704074656004,369.3600082392,369.3600082392,0
2235.47344898576,12.0,49.15325941349996,0.0,621.5899965736,117.26704074656004,369.3600082392,369.3600082392,0
2235.47344898576,12.0,49.87999940149999,0.0,621.5899965736,117.26704074656004,369.3600082392,369.3600082392,0
2214.47344898576,12.0,42.439999344499995,0.0,615.1699966168001,96.26704074656004,369.3600082392,369.3600082392,0
2214.47344898576,12.0,42.439999344499995,0.0,603.1699966168001,96.26704074656004,369.3600082392,369.3600082392,0
2214.47344898576,12.0,33.71325935649999,0.0,613.3699965448001,96.26704074656004,369.3600082392,369.3600082392,0
2214.47344898576,12.0,41.713259356500004,0.0,603.1699966168001,96.26704074656004,369.3600082392,369.3600082392,0
2118.2064082392,12.0,42.43999934449994,0.0,496.16999661680006,0.0,369.3600082392,369.3600082392,0
2118.2064082392,12.0,33.7132593565,0.0,496.16999661680006,0.0,369.3600082392,369.3600082392,0
2118.2064082392,12.0,33.713259356500004,0.0,494.3699965448001,0.0,369.3600082392,369.3600082392,0
2118.2064082392,12.0,42.43999934449994,0.0,496.16999661680006,0.0,369.3600082392,369.3600082392,0
2361.2064082392,12.0,42.43999934449994,0.0,622.3699965448001,243.0,369.3600082392,369.3600082392,0
2361.2064082392,12.0,41.71325935650003,0.0,612.1699966168001,243.0,369.3600082392,369.3600082392,0
2361.2064082392,12.0,33.713259356499975,0.0,622.3699965448001,242.99999999999997,369.3600082392,369.3600082392,0
2361.2064082392,12.0,33.71325935649995,0.0,622.3699965448001,243.0,369.3600082392,369.3600082392,0
2347.2064082392,12.0,42.439999344499995,0.0,678.480010986,228.99999999999997,369.3600082392,369.3600082392,0
2347.2064082392,12.0,41.713259356499975,0.0,678.480010986,229.0,369.3600082392,369.3600082392,0
2347.2064082392,12.0,34.43999934449994,0.0,678.480010986,229.0,369.3600082392,369.3600082392,0
