energy_production,nbr_on,reserve_up,reserve down,Fonction_objectif
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
1528.4999999999995,21.0,482.99999999999994,509.99999999999955,25320689.910000183
2205.0,30.0,690.0,750.0,25320689.910000183
2205.0,30.0,690.0,750.0,25320689.910000183
2205.0,30.0,690.0,750.0,25320689.910000183
2205.0,30.0,690.0,750.0,25320689.910000183
1908.0,26.0,598.0,647.0,25320689.910000183
388.0,8.0,173.9999999999996,0.0,25320689.910000183
388.0,8.0,173.9999999999996,0.0,25320689.910000183
194.0,4.0,67.00000000000044,0.0,25320689.910000183
74.0,1.0,23.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
191.50000000000034,3.0,69.0,46.00000000000033,25320689.910000183
1584.0,22.0,506.0,516.9999999999999,25320689.910000183
877.0000000000003,12.0,276.0,295.0000000000004,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
48.5,1.0,0.0,0.0,25320689.910000183
158.00000000000082,3.0,69.0,0.0,25320689.910000183
339.50000000000006,7.0,161.0,0.0,25320689.910000183
339.50000000000006,7.0,161.0,0.0,25320689.910000183
339.50000000000006,7.0,124.49999999999959,0.0,25320689.910000183
388.0,8.0,155.99999999999963,0.0,25320689.910000183
194.0,4.0,87.9999999999999,0.0,25320689.910000183
97.0,2.0,46.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
305.0000000000003,6.0,138.0,14.000000000000307,25320689.910000183
436.50000000000006,9.0,172.49999999999977,0.0,25320689.910000183
436.50000000000006,9.0,207.0,0.0,25320689.910000183
486.00000000000017,10.0,230.0,0.0,25320689.910000183
535.9999999999997,11.0,253.0,2.4999999999995923,25320689.910000183
436.50000000000006,9.0,202.50000000000063,0.0,25320689.910000183
302.00000000000045,6.0,138.0,0.0,25320689.910000183
74.0,1.0,23.0,25.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
0.0,0.0,0.0,0.0,25320689.910000183
