energy_production,nbr_on,nbr_off_primary,reserve_primary_up_on,reserve_primary_up_off,reserve_primary_down,nbr_off_secondary,reserve_secondary_up_on,reserve_secondary_up_off,reserve_secondary_down,Fonction_objectif
159.0,3.0,0.0,54.0,0.0,69.0,1.0,33.0,30.0,0.0,3759316.6999998903
167.0,3.0,0.0,62.0,0.0,77.0,1.0,33.0,30.0,0.0,3759316.6999998903
152.0,3.0,0.0,47.0,0.0,62.0,1.0,33.0,30.0,0.0,3759316.6999998903
148.0,3.0,0.0,43.0,0.0,58.0,1.0,33.0,30.0,0.0,3759316.6999998903
157.99999999999997,3.0,0.0,52.99999999999999,0.0,68.0,1.0,32.99999999999999,30.0,0.0,3759316.6999998903
112.0,2.0,0.0,37.0,0.0,52.0,1.0,33.0,30.0,0.0,3759316.6999998903
149.0,3.0,0.0,44.0,0.0,59.0,1.0,33.0,30.0,0.0,3759316.6999998903
162.0,3.0,0.0,57.0,0.0,72.0,1.0,33.0,30.000000000000004,0.0,3759316.6999998903
206.0,4.0,0.0,71.0,0.0,86.0,0.0,63.0,0.0,0.0,3759316.6999998903
262.0,5.0,0.0,97.0,0.0,112.00000000000001,1.0,33.00000000000001,30.0,0.0,3759316.6999998903
236.0,4.0,0.0,91.0,0.0,106.0,0.0,63.0,0.0,0.0,3759316.6999998903
326.0,5.0,0.0,118.0,0.0,133.0,1.0,33.0,30.0,0.0,3759316.6999998903
401.0,6.0,0.0,140.0,0.0,155.0,1.0,33.0,30.0,0.0,3759316.6999998903
423.0,6.0,0.0,147.0,0.0,162.0,1.0,30.0,33.0,0.0,3759316.6999998903
460.99999999999994,7.0,0.0,176.0,0.0,189.0,0.0,62.99999999999999,0.0,0.0,3759316.6999998903
441.0,7.0,0.0,152.0,0.0,167.0,0.0,63.0,0.0,0.0,3759316.6999998903
343.0,6.0,0.0,123.0,0.0,138.0,1.0,33.0,30.0,0.0,3759316.6999998903
225.0,4.0,0.0,88.0,0.0,103.0,0.0,63.0,0.0,0.0,3759316.6999998903
248.0,4.0,0.0,94.0,0.0,108.0,1.0,33.0,30.0,0.0,3759316.6999998903
224.0,4.0,0.0,87.0,0.0,102.0,0.0,63.0,0.0,0.0,3759316.6999998903
219.0,4.0,0.0,84.0,0.0,99.0,0.0,63.0,0.0,0.0,3759316.6999998903
205.0,4.0,0.0,70.0,0.0,85.0,0.0,63.0,0.0,0.0,3759316.6999998903
204.0,4.0,0.0,69.0,0.0,84.0,0.0,63.0,0.0,0.0,3759316.6999998903
206.0,4.0,0.0,71.0,0.0,86.0,0.0,63.0,0.0,0.0,3759316.6999998903
111.0,2.0,0.0,36.0,0.0,51.0,1.0,33.0,30.0,0.0,3759316.6999998903
107.0,2.0,0.0,32.0,0.0,47.0,1.0,33.0,30.0,0.0,3759316.6999998903
