energy_generation,nodu,generation_reserve_up_primary_on,generation_reserve_down_primary,generation_reserve_up_secondary_on,generation_reserve_down_secondary,generation_reserve_up_tertiary1_on,generation_reserve_down_tertiary1,generation_reserve_up_tertiary1_off
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4859.376,8.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
6074.22,10.0,0.0,0.0,0.0,0.0,0,0,0
7650.008982090183,11.0,0.0,0.0,0.0,476.69999694800003,0,0,0
9972.6,11.0,0.0,0.0,0.0,476.69999694800003,0,0,0
6681.642,11.0,27.513259309000034,0.0,331.0694693139996,0.0,0,0,0
6681.642,11.0,26.27325929949999,0.0,0.0,0.0,0,0,0
6681.642,11.0,0.0,0.0,0.0,0.0,0,0,0
6681.642,11.0,0.0,0.0,0.0,0.0,0,0,0
6681.642,11.0,16.58273204499966,0.0,0.0,0.0,0,0,0
6681.642,11.0,0.0,0.0,0.0,0.0,0,0,0
6681.642,11.0,0.0,0.0,0.0,0.0,0,0,0
6681.642,11.0,23.79325928049999,0.0,0.0,0.0,0,0,0
6681.642,11.0,0.0,0.0,529.4300117491,0.0,0,0,0
6681.642,11.0,0.0,0.0,529.4300117491,0.0,0,0,0
7289.064,12.0,23.793259280500024,0.0,577.5600128172,0.0,0,0,0
10567.451996948,16.0,23.79325928049999,128.0,770.0800170896,720.699996948,0,0,0
13054.563010508002,16.0,0.0,128.0,0.0,0.0,0,0,0
14505.6,16.0,0.0,128.0,0.0,694.699996948,0,0,0
14505.6,16.0,0.0,0.0,0.0,694.699996948,0,0,0
14239.56300050804,16.0,0.0,128.0,0.0,0.0,0,0,0
9846.752,16.0,0.0,128.0,0.0,0.0,0,0,0
11521.563000508042,16.0,0.0,0.0,0.0,673.699996948,0,0,0
11104.563000508042,16.0,0.0,0.0,0.0,673.699996948,0,0,0
