energy_production,nbr_on,reserve_up,reserve down,Fonction_objectif
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
1528.4999999999995,21.0,482.99999999999994,509.99999999999955,25332553.10900031
2205.0,30.0,690.0,750.0,25332553.10900031
2205.0,30.0,690.0,750.0,25332553.10900031
2205.0,30.0,690.0,750.0,25332553.10900031
2205.0,30.0,690.0,750.0,25332553.10900031
1908.0,26.0,598.0,647.0,25332553.10900031
401.00000000000074,7.0,161.0,0.0,25332553.10900031
388.0,8.0,184.0,0.0,25332553.10900031
191.99999999999986,3.0,69.0,46.49999999999987,25332553.10900031
74.0,1.0,23.0,25.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
191.50000000000034,3.0,69.0,46.00000000000033,25332553.10900031
1584.0,22.0,506.0,516.9999999999999,25332553.10900031
877.0000000000003,12.0,276.0,295.0000000000004,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
158.00000000000082,3.0,69.0,0.0,25332553.10900031
339.50000000000006,7.0,140.49999999999906,0.0,25332553.10900031
354.00000000000045,6.0,138.0,0.0,25332553.10900031
326.0000000000011,6.0,138.0,35.00000000000107,25332553.10900031
388.0,8.0,155.99999999999963,0.0,25332553.10900031
212.99999999999966,3.0,69.0,67.49999999999966,25332553.10900031
97.0,2.0,46.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
0.0,0.0,0.0,0.0,25332553.10900031
305.0000000000003,6.0,138.0,0.0,25332553.10900031
436.50000000000006,9.0,207.0,0.0,25332553.10900031
436.50000000000006,9.0,191.5000000000006,0.0,25332553.10900031
486.00000000000017,10.0,230.0,0.0,25332553.10900031
535.9999999999997,11.0,253.0,0.0,25332553.10900031
