energy_production,nbr_n
158.99999999999997,3.0
167.0,3.0
152.00000000000003,3.0
148.0,3.0
158.0,3.0
112.0,2.0
149.0,3.0
162.00000000000003,3.0
206.0,4.0
262.0,5.0
236.0,4.0
326.0,5.0
401.0,6.0
423.0,6.0
519.0,7.0
441.0,7.0
343.0,6.0
253.0,5.0
259.0,5.0
224.0,4.0
219.0,4.0
205.0,4.0
204.0,4.0
206.0,4.0
111.00000000000003,2.0
107.00000000000001,2.0
104.0,2.0
100.0,2.0
98.0,2.0
97.0,2.0
99.0,2.0
100.0,2.0
117.0,2.0
159.0,3.0
181.0,3.0
227.0,3.0
297.0,4.0
374.0,5.0
434.0,6.0
393.0,5.0
269.0,4.0
158.0,3.0
146.0,3.0
198.0,3.0
147.0,3.0
165.0,3.0
148.0,3.0
109.0,2.0
147.00000000000003,3.0
114.00000000000001,2.0
107.00000000000001,2.0
104.0,2.0
111.00000000000003,2.0
145.00000000000003,3.0
185.0,3.0
223.0,3.0
318.0,5.0
361.0,5.0
379.0,5.0
431.0,6.0
450.0,6.0
487.0,7.0
576.0,8.0
531.0,7.0
460.0,6.0
391.0,5.0
347.0,5.0
360.0,5.0
273.0,4.0
262.0,4.0
250.0,4.0
223.0,3.0
176.0,3.0
164.0,2.0
111.0,2.0
136.0,2.0
104.00000000000001,2.0
109.0,2.0
187.0,3.0
311.0,4.0
350.0,5.0
368.0,5.0
453.0,6.0
488.0,6.0
530.0,7.0
613.0,7.0
618.0,7.0
573.0,7.0
565.0,7.0
464.0,6.0
484.0,6.0
441.0,6.0
361.0,5.0
306.0,4.0
367.0,5.0
253.0,3.0
211.0,3.0
187.0,3.0
188.0,3.0
127.0,2.0
162.0,2.0
194.0,3.0
244.0,3.0
340.0,4.0
377.0,5.0
468.0,6.0
446.0,6.0
518.0,6.0
572.0,7.0
647.0,7.0
646.0,7.0
647.0,7.0
619.0,7.0
493.0,6.0
517.0,6.0
474.0,6.0
375.0,5.0
341.0,4.0
352.0,4.0
330.0,4.0
216.0,4.0
225.0,4.0
202.0,4.0
209.0,4.0
168.99999999999997,3.0
210.0,4.0
235.0,4.0
350.0,6.0
391.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
438.0,6.0
421.0,6.0
363.0,6.0
358.0,6.0
287.0,5.0
251.0,4.0
226.0,3.0
182.0,3.0
166.0,3.0
184.0,3.0
202.0,3.0
275.0,4.0
360.0,5.0
409.0,5.0
464.0,6.0
510.0,7.0
595.0,7.0
593.0,7.0
582.0,7.0
576.0,7.0
583.0,7.0
592.0,7.0
542.0,7.0
541.0,7.0
450.0,6.0
422.0,6.0
366.0,5.0
389.0,5.0
317.0,4.0
