energy_generation,generation_reserve_up_primary_on,generation_reserve_down_primary,generation_reserve_up_secondary_on,generation_reserve_down_secondary,generation_reserve_up_tertiary1_on,generation_reserve_down_tertiary1
16414.648571072037,214.99999999999997,128.0,677.699996948,673.699996948,836.828979492,891.6510446177999
14117.0617014104,215.00000000000003,128.00000000000003,677.699996948,673.699996948,836.8289794920001,888.2510445224
14117.0617014104,127.99999999999999,128.0,640.699996948,673.699996948,836.828979492,888.2510445224
13246.851701410398,128.0,128.0,640.699996948,673.699996948,836.828979492,888.2510445224
11271.031701314998,128.0,128.00000000000003,521.699996948,476.69999694800003,871.8289794919999,849.851044427
11271.031701314998,128.0,128.00000000000003,521.699996948,476.69999694800003,871.828979492,849.8510444269999
11271.031701314998,128.0,128.0,521.699996948,476.69999694800003,871.8289794919999,849.851044427
11271.031701314998,128.0,128.00000000000003,521.699996948,476.69999694800003,871.8289794919999,849.851044427
11172.1406688475,128.0,128.00000000000003,649.699996948,719.699996948,1213.7200119595,507.9600119595
11172.1406688475,128.0,128.0,649.699996948,719.699996948,1213.7200119595,507.9600119595
11172.1406688475,128.0,128.0,649.699996948,719.699996948,1213.7200119595,507.9600119595
11170.440668799798,128.00000000000003,128.00000000000003,649.699996948,719.699996948,1212.0200119117999,506.2600119118
11154.7406687521,127.99999999999994,128.0,719.699996948,705.699996948,1210.3200118641,504.5600118641
11154.7406687521,127.99999999999994,128.00000000000003,719.699996948,705.699996948,1210.3200118641,504.5600118641
11154.7406687521,128.0,128.00000000000003,719.699996948,705.699996948,1210.3200118641,504.5600118641
11154.7406687521,127.99999999999994,128.00000000000003,719.699996948,705.699996948,1210.3200118641,504.5600118641
11169.7406687521,128.0,128.0,954.699996948,720.699996948,1210.3200118641,504.5600118641
11168.040668704398,128.0,128.00000000000003,954.699996948,720.699996948,1208.6200118164,502.8600118164
11168.040668704398,127.99999999999997,128.00000000000003,954.699996948,720.699996948,1208.6200118164,502.8600118164
12908.460668704398,128.0,128.00000000000003,954.6999969479999,720.699996948,1208.6200118164,502.8600118164
12446.064206943998,128.00000000000003,128.00000000000003,646.699996948,694.699996948,745.828979492,823.306550056
12446.064206943998,127.99999999999997,128.00000000000003,646.699996948,694.699996948,745.828979492,823.306550056
12446.064206943998,127.99999999999999,128.00000000000003,646.699996948,694.699996948,745.828979492,823.3065500559999
12446.064206943998,128.0,128.00000000000003,646.699996948,694.699996948,745.828979492,823.306550056
12493.557740238997,128.0,128.00000000000003,640.699996948,673.699996948,836.8289794920001,844.270083351
