energy_production,nbr_on,reserve_up,reserve down
4493.0,5.0,0.0,0.0
4129.0,5.0,0.0,0.0
3921.0,5.0,0.0,0.0
3869.0,5.0,0.0,0.0
3940.0,5.0,0.0,0.0
4277.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4380.0,5.0,0.0,0.0
4223.0,5.0,0.0,0.0
3891.0,5.0,0.0,0.0
4002.0,5.0,0.0,0.0
4199.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4226.0,5.0,0.0,0.0
4107.0,5.0,0.0,0.0
3936.0,5.0,0.0,0.0
4279.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4222.0,5.0,0.0,0.0
4070.0,5.0,0.0,0.0
3862.0,5.0,0.0,0.0
3812.0,5.0,0.0,0.0
3869.0,5.0,0.0,0.0
4372.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4449.0,5.0,0.0,0.0
4322.0,5.0,0.0,0.0
4261.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4496.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4446.0,5.0,0.0,0.0
4089.0,5.0,0.0,0.0
4094.0,5.0,0.0,0.0
4121.0,5.0,0.0,0.0
4018.0,5.0,0.0,0.0
4373.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4427.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4500.0,5.0,0.0,0.0
4380.0,5.0,0.0,0.0
4282.0,5.0,0.0,0.0
4364.0,5.0,0.0,0.0
3922.0,5.0,0.0,0.0
3371.0,5.0,0.0,0.0
