energy_generation,nodu,generation_reserve_up_primary_on,generation_reserve_down_primary,generation_reserve_up_secondary_on,generation_reserve_down_secondary,generation_reserve_up_tertiary1_on,generation_reserve_down_tertiary1,generation_reserve_up_tertiary1_off
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5044.609891160004,7.695209354773916,0.0,0.0,87.06693236021883,370.37043446452174,0,0,0
7016.6098911600075,9.458059589146508,0.0,0.0,87.06693236021881,455.2164181277749,0,0,0
8487.609891160006,9.458059589146508,0.0,0.0,87.06693236021886,455.2164181277749,0,0,0
6949.609891160006,9.458059589146508,0.0,128.0,87.06693236021883,0.0,0,0,0
6225.440250160294,9.458059589146508,0.0,128.0,0.0,352.4067784017443,0,0,0
5745.03347175855,9.458059589146508,0.0,0.0,0.0,0.0,0,0,0
5745.03347175855,9.458059589146508,0.0,0.0,0.0,0.0,0,0,0
5745.03347175855,9.458059589146508,0.0,0.0,0.0,0.0,0,0,0
5745.03347175855,9.458059589146508,0.0,0.0,0.0,0.0,0,0,0
7243.440250160294,9.458059589146508,0.0,0.0,0.0,0.0,0,0,0
9642.384180836885,10.635764593907881,0.0,0.0,0.0,0.0,0,0,0
9642.384180836885,10.635764593907881,0.0,0.0,0.0,476.69999694800003,0,0,0
9283.801452213886,10.635764593907881,0.0,128.0,358.58272862299964,511.8993612648465,0,0,0
6460.397401160713,10.635764593907881,0.0,0.0,355.27272856099984,0.0,0,0,0
6460.397401160713,10.635764593907881,0.0,0.0,355.27272856099984,0.0,0,0,0
6460.397401160713,10.635764593907881,0.0,0.0,0.0,0.0,0,0,0
6460.397401160713,10.635764593907881,26.273259299499998,0.0,0.0,0.0,0,0,0
6460.397401160713,10.635764593907881,0.0,0.0,511.8993612648465,0.0,0,0,0
6460.397401160713,10.635764593907881,0.0,0.0,511.8993612648465,0.0,0,0,0
6460.397401160713,10.635764593907881,0.0,0.0,0.0,0.0,0,0,0
6460.397401160713,10.635764593907881,0.0,0.0,80.59242840993944,0.0,0,0,0
6460.397401160713,10.635764593907881,22.553259271,0.0,78.52242835744377,0.0,0,0,0
6787.596965904977,11.174433862956846,23.793259280499967,0.0,537.8255137595261,3.637978807091713e-12,0,0,0
12966.37697257291,15.131769599421823,23.793259280500024,128.0,728.2920869824154,720.699996948,0,0,0
13718.462318835825,15.131769599421823,0.0,128.0,0.0,0.0,0,0,0
