energy_production_base,nbr_on,reserve_primary_up_on_base,reserve_primary_down_base,reserve_tertiary1_up_on_base,reserve_tertiary1_up_off_base,reserve_tertiary1_down_base,Fonction_objectif
6645.0,12.071220930232556,301.0,300.99999999999994,1218.0,0.0,1505.0,499018614.763908
6559.999999999999,12.071220930232556,346.00000000000006,345.99999999999994,1399.0,0.0,1727.9999999999998,499018614.763908
6467.0,11.321220930232556,262.0,261.99999999999994,1060.0,0.0,1309.9999999999998,499018614.763908
6356.0,11.321220930232556,240.00000000000003,239.99999999999997,970.0000000000001,0.0,1198.0,499018614.763908
6185.921568627457,11.156862745098046,295.0,295.0,1195.0,0.0,1476.0,499018614.763908
6281.0,11.156862745098046,206.0,206.0,834.0,0.0,1029.9999999999998,499018614.763908
6321.0,11.156862745098046,245.00000000000003,244.99999999999997,992.0,0.0,1226.0,499018614.763908
6072.921568627457,11.156862745098046,318.0,317.99999999999994,1285.0,0.0,1587.9999999999998,499018614.763908
5970.0,11.156862745098046,396.0,395.99999999999994,1309.9215686274567,291.07843137254315,1977.9999999999998,499018614.763908
6310.1372549019625,11.156862745098046,540.0,539.9999999999999,825.7843137254945,421.5686274509771,2701.9999999999995,499018614.763908
6110.1372549019625,11.156862745098046,507.0,506.99999999999994,1058.7843137254947,421.5686274509771,2534.9999999999995,499018614.763908
6738.490196078435,11.156862745098046,658.0,658.0,279.4313725490219,421.5686274509771,3012.352941176472,499018614.763908
6860.490196078435,11.156862745098046,779.9999999999999,780.0000000000002,35.431372549022676,421.5686274509773,3012.352941176472,499018614.763908
6856.921568627457,11.156862745098046,818.9999999999999,818.9999999999999,0.0,421.5686274509771,2969.784313725494,499018614.763908
6849.000000000001,11.379360465116278,980.0000000000001,979.9999999999999,0.0,310.3197674418618,2739.6758720930247,499018614.763908
6981.999999999999,11.379360465116276,846.9999999999999,846.9999999999999,0.0,310.3197674418618,3005.6758720930243,499018614.763908
7224.999999999999,12.0,684.9999999999999,685.0,346.00000000000193,0.0,3239.9999999999995,499018614.763908
6339.000000000001,12.0,0.0,489.99999999999994,1917.0000000000002,0.0,2450.9999999999995,499018614.763908
6442.999999999999,12.0,229.87628865979235,523.9999999999999,1583.12371134021,0.0,2619.0,499018614.763908
6213.000000000001,11.999999999999996,455.8453608247423,484.99999999999994,1587.1546391752568,1.455617622258964e-12,2423.9999999999995,499018614.763908
6209.5,12.0,445.2319587628866,467.99999999999994,1601.2680412371128,0.0,2339.9999999999995,499018614.763908
6382.500000000001,11.999999999999998,294.5000000000005,389.99999999999994,1578.9999999999993,8.881784197001251e-13,1950.9999999999998,499018614.763908
6488.5,12.000000000000004,371.6237113402061,383.99999999999994,1395.8762886597945,-1.455617622258964e-12,1920.9999999999998,499018614.763908
6314.0,12.0,392.03092783505156,395.99999999999994,1549.9690721649479,2.911235244517928e-13,1977.9999999999998,499018614.763908
6768.0,12.0,201.0,200.99999999999997,812.0,0.0,1002.9999999999999,499018614.763908
6686.0,12.0,178.0,177.99999999999997,721.0,0.0,890.9999999999999,499018614.763908
6583.0,12.0,162.0,162.0,654.0,0.0,807.9999999999999,499018614.763908
6482.999999999999,12.0,139.0,139.0,563.0,0.0,695.9999999999999,499018614.763908
6379.999999999999,12.0,128.0,127.99999999999999,519.0,0.0,640.9999999999999,499018614.763908
6360.000000000001,12.0,123.0,122.99999999999999,497.0,0.0,613.9999999999999,499018614.763908
6314.0,12.0,134.0,133.99999999999997,541.0,0.0,668.0,499018614.763908
6231.999999999999,12.0,139.0,139.0,563.0,0.0,695.9999999999999,499018614.763908
6130.999999999999,12.0,212.0,211.99999999999997,857.0,0.0,1058.9999999999998,499018614.763908
6117.999999999999,12.0,245.00000000000003,244.99999999999997,992.0,0.0,1226.0,499018614.763908
6166.999999999999,12.0,262.0,261.99999999999994,1060.0,0.0,1309.9999999999998,499018614.763908
6279.0,12.0,301.0,300.99999999999994,1218.0,0.0,1505.0,499018614.763908
6429.000000000002,12.0,362.0,361.99999999999994,1464.9999999999998,0.0,1809.9999999999998,499018614.763908
6352.0,12.0,424.0,423.99999999999994,1480.0000000000014,233.99999999999875,2117.9999999999995,499018614.763908
6406.0,12.0,473.0,472.99999999999994,1377.000000000002,538.9999999999978,2367.0,499018614.763908
6488.0,12.0,440.00000000000006,439.99999999999994,1328.0000000000011,453.99999999999875,2201.9999999999995,499018614.763908
6569.000000000002,12.0,334.0,334.0,1353.0,0.0,1671.9999999999998,499018614.763908
6657.0,12.0,245.00000000000003,244.99999999999997,992.0,0.0,1226.0,499018614.763908
6535.0,12.0,228.0,227.99999999999997,924.0,0.0,1141.9999999999998,499018614.763908
6405.0,12.0,279.0,279.0,1128.0,0.0,1394.0,499018614.763908
6324.0,12.0,234.0,233.99999999999997,948.0,0.0,1170.9999999999998,499018614.763908
6353.0,12.0,251.0,250.99999999999997,1014.0,0.0,1252.9999999999998,499018614.763908
6488.0,12.0,234.0,233.99999999999997,948.0,0.0,1170.9999999999998,499018614.763908
6245.0,12.0,189.99999999999997,189.99999999999997,767.0,0.0,947.9999999999999,499018614.763908
6537.0,12.0,234.0,233.99999999999997,948.0,0.0,1170.9999999999998,499018614.763908
6503.0,12.0,217.0,216.99999999999997,880.0000000000001,0.0,1087.0,499018614.763908
6433.0,12.0,178.0,177.99999999999997,721.0,0.0,890.9999999999999,499018614.763908
6337.999999999999,12.0,162.0,162.0,654.0,0.0,807.9999999999999,499018614.763908
6255.0,12.0,201.0,200.99999999999997,812.0,0.0,1002.9999999999999,499018614.763908
