energy_production,nbr_on,reserve_up,reserve down
6347.000000000001,12.0,1218.0000000000002,1505.0
6262.0,12.0,1399.0000000000002,1728.0
6169.000000000001,12.0,1060.0000000000002,1310.0000000000002
6058.000000000001,12.0,970.0000000000001,1198.0
5960.0,12.0,1195.0000000000002,1476.0
5983.000000000001,12.0,834.0000000000001,1030.0000000000002
6023.0,12.0,992.0000000000001,1226.0
5995.000000000001,12.0,1285.0000000000002,1588.0000000000002
5908.000000000001,12.0,1601.0,1978.0
6002.0,12.0,2187.0000000000005,2702.0000000000005
5977.000000000001,12.0,2052.0000000000005,2535.0000000000005
6070.812500000002,12.0,2185.187500000001,2770.8125000000014
5789.000000000001,12.0,2467.0000000000005,2489.0000000000005
5631.000000000001,12.0,2625.0000000000005,2331.000000000001
5016.000000000001,12.0,3240.0000000000005,1716.0000000000011
5519.000000000002,12.0,2737.0000000000005,2219.0000000000014
6078.562500000001,12.0,2177.437500000002,2778.5625000000014
6452.783216783218,12.0,1803.2167832167838,2451.0000000000005
6316.7832167832175,12.0,1939.216783216784,2619.0
6377.958041958043,12.0,1878.0419580419587,2424.0000000000005
6394.489510489512,12.0,1861.5104895104903,2340.0000000000005
6492.000000000001,12.0,1579.0000000000002,1951.0000000000002
6598.000000000001,12.0,1555.0,1921.0000000000005
6307.000000000001,12.0,1601.0,1978.0
6470.0,12.0,812.0000000000001,1003.0
6388.000000000001,12.0,721.0,891.0000000000002
6285.000000000001,12.0,654.0000000000001,808.0000000000001
6162.0,12.0,563.0,696.0000000000001
6048.0,12.0,519.0,641.0000000000001
6023.0,12.0,497.0,614.0000000000001
5988.0,12.005813953488369,541.0,668.0
5911.0,12.005813953488369,563.0,696.0000000000001
5833.0,12.005813953488369,857.0000000000001,1059.0000000000002
5820.0,12.005813953488369,992.0000000000001,1226.0
5869.0,12.005813953488369,1060.0000000000002,1310.0000000000002
5981.000000000001,12.005813953488369,1218.0000000000002,1505.0
6147.000000000001,12.005813953488369,1465.0,1810.0000000000002
6290.0,12.005813953488369,1714.0000000000002,2118.0000000000005
6344.0,12.005813953488369,1916.0,2367.0
6426.000000000001,12.005813953488369,1782.0,2202.0000000000005
6449.000000000001,12.005813953488369,1353.0000000000002,1672.0000000000002
6359.000000000001,12.005813953488369,992.0000000000001,1226.0
6237.000000000001,12.005813953488369,924.0000000000001,1142.0000000000002
6107.000000000001,12.005813953488369,1128.0,1394.0
6026.000000000001,12.005813953488369,948.0,1171.0000000000002
6055.000000000001,12.005813953488369,1014.0000000000001,1253.0000000000002
6190.000000000001,12.005813953488369,948.0,1171.0000000000002
5947.000000000001,12.005813953488369,767.0000000000001,948.0000000000001
6239.000000000001,12.005813953488369,948.0,1171.0000000000002
6205.000000000001,12.005813953488369,880.0000000000001,1087.0
6135.0,12.005813953488369,721.0,891.0000000000002
6040.0,12.005813953488369,654.0000000000001,808.0000000000001
5957.0,12.005813953488369,812.0000000000001,1003.0
5931.0,12.005813953488369,902.0000000000001,1114.0000000000002
5788.000000000001,12.005813953488369,1285.0000000000002,1588.0000000000002
5580.0,12.005813953488369,1465.0,1810.0000000000002
5641.598837209302,12.005813953488369,1894.0000000000002,2340.0000000000005
5863.598837209301,12.005813953488369,2074.0,2562.0000000000005
5975.598837209302,12.005813953488369,2164.0,2674.0
6513.019370460048,12.94188861985472,2391.0000000000005,2954.0
6757.857142857142,13.428571428571425,2481.0000000000005,3065.0
7049.104166666667,14.0,2582.8958333333344,3199.1041666666674
7078.187500000001,14.0,2553.8125000000014,3228.1875000000005
7063.604166666668,14.0,2568.395833333334,3213.604166666668
6878.777239709442,13.6682808716707,2525.0000000000005,3120.0000000000005
6488.777239709442,13.6682808716707,2210.0000000000005,2730.0
