energy_production_base,nbr_on,reserve_primary_up_on_base,reserve_primary_down_base,reserve_tertiary2_up_on_base,reserve_tertiary2_up_off_base,reserve_tertiary2_down_base,Fonction_objectif
6645.0,13.0,301.0,300.99999999999994,1218.0,0.0,1505.0,499569416.9859801
6559.999999999999,13.0,346.00000000000006,345.99999999999994,1399.0,0.0,1727.9999999999998,499569416.9859801
6467.0,12.0,262.0,261.99999999999994,1060.0,0.0,1309.9999999999998,499569416.9859801
6356.0,12.0,240.00000000000003,239.99999999999997,970.0000000000001,0.0,1198.0,499569416.9859801
6257.999999999999,12.0,295.0,295.0,1195.0,0.0,1476.0,499569416.9859801
6281.0,12.0,206.0,206.0,834.0,0.0,1029.9999999999998,499569416.9859801
6321.0,12.0,245.00000000000003,244.99999999999997,992.0,0.0,1226.0,499569416.9859801
6293.0,12.0,318.0,317.99999999999994,1285.0,0.0,1587.9999999999998,499569416.9859801
6206.0,12.0,396.0,395.99999999999994,1601.0,0.0,1977.9999999999998,499569416.9859801
6542.0,12.0,540.0,539.9999999999999,1174.0000000000007,0.0,2701.9999999999995,499569416.9859801
6342.0,12.0,507.0,506.99999999999994,1407.0000000000007,0.0,2534.9999999999995,499569416.9859801
7197.999999999999,12.0,658.0,658.0,400.00000000000097,0.0,3239.9999999999995,499569416.9859801
7019.0,12.0,779.9999999999999,779.9999999999999,457.0,0.0,2939.0,499569416.9859801
6973.0,12.0,819.0,818.9999999999999,464.0000000000006,0.0,2853.999999999999,499569416.9859801
7085.0,12.0,980.0000000000001,979.9999999999999,190.9999999999999,0.0,2805.0000000000005,499569416.9859801
7210.999999999999,12.0,847.0,846.9999999999999,198.00000000000074,0.0,3063.999999999999,499569416.9859801
7225.0,12.0,684.9999999999999,685.0,346.00000000000034,0.0,3239.9999999999995,499569416.9859801
6314.0,12.0,0.0,489.99999999999994,1942.0,0.0,2450.9999999999995,499569416.9859801
6443.0,12.0,209.0,523.9999999999999,1604.0,0.0,2619.0,499569416.9859801
6208.999999999999,12.0,485.00000000000006,484.9999999999999,1562.000000000001,0.0,2423.9999999999995,499569416.9859801
6185.5,12.0,468.0,467.99999999999994,1602.4999999999998,0.0,2339.9999999999995,499569416.9859801
6360.000000000001,12.0,389.99999999999994,389.99999999999994,1505.9999999999995,0.0,1950.9999999999998,499569416.9859801
6466.000000000001,12.0,234.9999999999994,383.99999999999994,1554.9999999999998,0.0,1920.9999999999998,499569416.9859801
6272.0,12.0,383.0000000000001,395.99999999999994,1601.0,0.0,1977.9999999999998,499569416.9859801
6768.0,12.0,201.0,200.99999999999997,812.0,0.0,1002.9999999999999,499569416.9859801
6686.0,12.0,178.0,177.99999999999997,721.0,0.0,890.9999999999999,499569416.9859801
6583.0,12.0,162.0,162.0,654.0,0.0,807.9999999999999,499569416.9859801
6482.999999999999,12.0,139.0,139.0,563.0,0.0,695.9999999999999,499569416.9859801
6379.999999999999,12.0,128.0,127.99999999999999,519.0,0.0,640.9999999999999,499569416.9859801
6360.000000000001,12.0,123.0,122.99999999999999,497.0,0.0,613.9999999999999,499569416.9859801
6314.0,12.0,134.0,133.99999999999997,541.0,0.0,668.0,499569416.9859801
6231.999999999999,12.0,139.0,139.0,563.0,0.0,695.9999999999999,499569416.9859801
6130.999999999999,12.0,212.0,211.99999999999997,857.0,0.0,1058.9999999999998,499569416.9859801
6117.999999999999,12.0,245.00000000000003,244.99999999999997,992.0,0.0,1226.0,499569416.9859801
6166.999999999999,12.0,262.0,261.99999999999994,1060.0,0.0,1309.9999999999998,499569416.9859801
6279.0,12.0,301.0,300.99999999999994,1218.0,0.0,1505.0,499569416.9859801
6429.000000000002,12.0,362.0,361.99999999999994,1464.9999999999998,0.0,1809.9999999999998,499569416.9859801
6352.0,12.0,424.0,423.99999999999994,1480.0000000000014,233.99999999999875,2117.9999999999995,499569416.9859801
6406.0,12.0,473.0,472.99999999999994,1377.000000000002,538.9999999999978,2367.0,499569416.9859801
6488.0,12.0,440.00000000000006,439.99999999999994,1328.0000000000011,453.99999999999875,2201.9999999999995,499569416.9859801
6569.000000000002,12.0,334.0,334.0,1353.0,0.0,1671.9999999999998,499569416.9859801
6657.0,12.0,245.00000000000003,244.99999999999997,992.0,0.0,1226.0,499569416.9859801
6535.0,12.0,228.0,227.99999999999997,924.0,0.0,1141.9999999999998,499569416.9859801
6405.0,12.0,279.0,279.0,1128.0,0.0,1394.0,499569416.9859801
6324.0,12.0,234.0,233.99999999999997,948.0,0.0,1170.9999999999998,499569416.9859801
6353.0,12.0,251.0,250.99999999999997,1014.0,0.0,1252.9999999999998,499569416.9859801
6488.0,12.0,234.0,233.99999999999997,948.0,0.0,1170.9999999999998,499569416.9859801
6245.0,12.0,189.99999999999997,189.99999999999997,767.0,0.0,947.9999999999999,499569416.9859801
6537.0,12.0,234.0,233.99999999999997,948.0,0.0,1170.9999999999998,499569416.9859801
6503.0,12.0,217.0,216.99999999999997,880.0000000000001,0.0,1087.0,499569416.9859801
6433.0,12.0,178.0,177.99999999999997,721.0,0.0,890.9999999999999,499569416.9859801
6337.999999999999,12.0,162.0,162.0,654.0,0.0,807.9999999999999,499569416.9859801
6255.0,12.0,201.0,200.99999999999997,812.0,0.0,1002.9999999999999,499569416.9859801
6228.999999999999,12.0,223.0,222.99999999999997,902.0,0.0,1113.9999999999998,499569416.9859801
6086.0,12.0,318.0,317.99999999999994,1285.0,0.0,1587.9999999999998,499569416.9859801
5877.999999999999,12.0,362.0,361.99999999999994,1464.9999999999998,0.0,1809.9999999999998,499569416.9859801
6108.0,12.0,468.0,467.99999999999994,1680.0000000000016,213.99999999999847,2339.9999999999995,499569416.9859801
6374.0,12.0,512.0,511.99999999999994,1370.0000000000016,703.9999999999984,2561.9999999999995,499569416.9859801
