energy_production_base,nbr_on,reserve_primary_up_on_base,reserve_primary_up_off_base,reserve_primary_down_base,Fonction_objectif
6347.000000000001,12.0,1218.0000000000002,0.0,1505.0,23133266.53118092
6262.0,12.0,1399.0000000000002,0.0,1728.0,23133266.53118092
6169.000000000001,12.0,1060.0000000000002,0.0,1310.0,23133266.53118092
6058.000000000001,12.0,970.0000000000001,0.0,1198.0,23133266.53118092
5960.0,12.0,1195.0000000000002,0.0,1476.0,23133266.53118092
5983.000000000001,12.0,834.0000000000001,0.0,1030.0,23133266.53118092
6023.0,12.0,992.0000000000001,0.0,1226.0,23133266.53118092
5995.000000000001,12.0,1285.0000000000002,0.0,1588.0,23133266.53118092
5908.000000000001,12.000000000000002,1601.0,0.0,1978.0,23133266.53118092
6002.0,12.000000000000002,2187.0000000000005,0.0,2702.0,23133266.53118092
5977.0,12.000000000000002,2052.0000000000005,0.0,2535.0,23133266.53118092
6540.000000000001,12.000000000000002,1716.000000000002,-1.3526882261675094e-12,3240.0000000000005,23133266.53118092
6540.000000000001,12.000000000000002,1716.000000000002,-1.3526882261675094e-12,3240.0000000000005,23133266.53118092
6540.0,12.0,1716.000000000002,0.0,3239.9999999999995,23133266.53118092
6540.0,12.0,1716.000000000002,0.0,3239.9999999999995,23133266.53118092
6540.0,12.0,1716.000000000002,0.0,3239.9999999999995,23133266.53118092
6573.0,12.0,1683.000000000002,0.0,3240.0000000000005,23133266.53118092
6834.0,12.0,1422.0000000000018,-1.4317684609280717e-12,2451.0,23133266.53118092
6698.000000000001,12.0,1558.0000000000002,-1.4317684609280717e-12,2619.0,23133266.53118092
6555.0,12.0,1701.0000000000025,-1.4317684609280717e-12,2424.0,23133266.53118092
6463.000000000001,12.0,1793.0000000000016,-1.4317684609280717e-12,2340.0,23133266.53118092
6492.000000000001,12.0,1579.0000000000002,0.0,1951.0,23133266.53118092
6598.000000000001,12.0,1555.0,0.0,1921.0,23133266.53118092
6307.000000000001,12.0,1601.0,0.0,1978.0,23133266.53118092
6470.0,12.0,812.0000000000001,0.0,1003.0,23133266.53118092
6388.000000000001,12.0,721.0,0.0,891.0,23133266.53118092
6285.000000000001,12.0,654.0000000000001,0.0,808.0,23133266.53118092
6162.0,12.0,563.0,0.0,696.0,23133266.53118092
6048.0,12.0,519.0,0.0,641.0,23133266.53118092
6023.0,12.0,497.0,0.0,614.0,23133266.53118092
5988.0,12.0,541.0,0.0,668.0,23133266.53118092
5911.0,12.0,563.0,0.0,696.0,23133266.53118092
5833.0,12.0,857.0000000000001,0.0,1059.0,23133266.53118092
5820.0,12.0,992.0000000000001,0.0,1226.0,23133266.53118092
5869.0,12.0,1060.0000000000002,0.0,1310.0,23133266.53118092
5981.000000000001,12.0,1218.0000000000002,0.0,1505.0,23133266.53118092
6147.000000000001,12.0,1465.0,0.0,1810.0,23133266.53118092
6290.0,12.0,1714.0000000000002,0.0,2118.0,23133266.53118092
6344.0,12.0,1912.0000000000023,3.9999999999976126,2367.0,23133266.53118092
6426.0,12.0,1782.0,0.0,2202.0,23133266.53118092
6449.000000000001,12.0,1353.0000000000002,0.0,1672.0000000000002,23133266.53118092
6359.000000000001,12.0,992.0000000000001,0.0,1226.0,23133266.53118092
6237.000000000001,12.0,924.0000000000001,0.0,1142.0,23133266.53118092
6107.000000000001,12.0,1128.0,0.0,1394.0,23133266.53118092
6026.000000000001,12.0,948.0,0.0,1171.0,23133266.53118092
6055.000000000001,12.0,1014.0000000000001,0.0,1253.0,23133266.53118092
6190.000000000001,12.0,948.0,0.0,1171.0,23133266.53118092
5947.000000000001,12.0,767.0000000000001,0.0,947.9999999999999,23133266.53118092
6239.000000000001,12.0,948.0,0.0,1171.0,23133266.53118092
6205.000000000001,12.0,880.0000000000001,0.0,1087.0,23133266.53118092
6135.0,12.0,721.0,0.0,891.0,23133266.53118092
6040.0,12.0,654.0000000000001,0.0,808.0,23133266.53118092
5957.0,12.0,812.0000000000001,0.0,1003.0,23133266.53118092
5931.0,12.0,902.0000000000001,0.0,1114.0,23133266.53118092
5788.000000000001,12.0,1285.0000000000002,0.0,1588.0,23133266.53118092
5580.0,11.714285714285712,1465.0,0.0,1810.0,23133266.53118092
5561.42857142857,11.714285714285712,1894.0000000000002,0.0,2340.0,23133266.53118092
5783.428571428571,11.714285714285712,2074.0,0.0,2562.0,23133266.53118092
5895.428571428571,11.714285714285712,2164.0,0.0,2674.0,23133266.53118092
6175.428571428571,11.714285714285712,1883.9999999999995,507.0000000000007,2954.0,23133266.53118092
6286.428571428571,11.714285714285712,1773.0000000000005,708.0,3065.0,23133266.53118092
6578.351851851852,12.070370370370371,1726.0629629629643,911.9370370370359,3259.0,23133266.53118092
7087.018518518519,13.003703703703707,1859.5296296296326,1184.4703703703676,3511.0000000000005,23133266.53118092
7087.018518518519,13.003703703703707,1859.5296296296326,982.4703703703673,3511.0000000000005,23133266.53118092
6694.999999999999,13.0,2249.0000000000023,275.9999999999982,3120.0,23133266.53118092
6304.999999999999,13.0,2210.0000000000005,0.0,2730.0,23133266.53118092
6052.999999999999,13.0,2006.0000000000002,0.0,2478.0,23133266.53118092
6137.0,13.0,2074.0,0.0,2562.0,23133266.53118092
5689.0,13.0,1691.0,0.0,2088.9999999999995,23133266.53118092
5825.000000000001,13.0,1623.0000000000002,0.0,2004.9999999999998,23133266.53118092
6062.0,13.0,1579.0000000000002,0.0,1951.0,23133266.53118092
6226.0,13.0,1465.0,0.0,1810.0,23133266.53118092
6790.000000000001,13.0,857.0000000000001,0.0,1059.0,23133266.53118092
6636.000000000001,13.0,812.0000000000001,0.0,1003.0,23133266.53118092
6542.0,13.0,699.0000000000001,0.0,864.0,23133266.53118092
6438.000000000001,13.0,767.0000000000001,0.0,947.9999999999999,23133266.53118092
6345.000000000001,13.0,654.0000000000001,0.0,808.0,23133266.53118092
6530.0,13.0,699.0000000000001,0.0,864.0,23133266.53118092
7081.000000000001,13.0,880.0000000000001,0.0,1087.0,23133266.53118092
7563.000000000001,13.0,1150.0000000000002,0.0,1421.0,23133266.53118092
7759.0,13.0,1185.000000000002,54.99999999999818,1532.0,23133266.53118092
7876.000000000001,13.0,1068.0000000000002,216.99999999999997,1588.0,23133266.53118092
8025.000000000001,13.0,919.0000000000008,545.9999999999991,1810.0,23133266.53118092
8116.000000000001,13.0,828.0000000000011,649.9999999999997,1921.0,23133266.53118092
8213.0,13.0,731.0000000000027,649.9999999999997,2034.0,23133266.53118092
8286.0,13.0,658.0000000000019,649.9999999999997,2256.0,23133266.53118092
8275.0,13.0,669.0000000000015,649.9999999999997,2284.0,23133266.53118092
8360.000000000002,13.0,584.0000000000005,649.9999999999997,2145.0,23133266.53118092
8440.0,13.0,504.0000000000017,649.9999999999997,2145.0,23133266.53118092
8425.000000000002,13.0,518.9999999999999,649.9999999999997,1840.0,23133266.53118092
8237.0,13.0,707.0000000000008,649.9999999999997,1894.0000000000002,23133266.53118092
8018.0,13.0,926.0000000000017,516.9999999999984,1783.0000000000002,23133266.53118092
7771.000000000001,13.0,1173.0000000000002,90.0,1560.0,23133266.53118092
7612.0,13.0,1150.0000000000002,0.0,1421.0,23133266.53118092
7472.000000000001,13.0,1285.0000000000002,0.0,1588.0,23133266.53118092
7270.000000000001,13.0,1014.0000000000001,0.0,1253.0,23133266.53118092
6888.0,13.0,699.0000000000001,0.0,864.0,23133266.53118092
6701.000000000001,13.0,654.0000000000001,0.0,808.0,23133266.53118092
6583.000000000001,13.0,654.0000000000001,0.0,808.0,23133266.53118092
6486.0,13.0,587.0,0.0,725.0,23133266.53118092
6416.000000000001,13.0,631.0,0.0,780.0,23133266.53118092
6614.000000000001,13.0,677.0000000000001,0.0,836.0000000000001,23133266.53118092
7189.000000000001,13.0,721.0,0.0,891.0,23133266.53118092
7702.0,13.0,834.0000000000001,0.0,1030.0,23133266.53118092
7905.000000000001,13.0,880.0000000000001,0.0,1087.0,23133266.53118092
7982.0,13.0,962.000000000001,7.999999999999155,1198.0,23133266.53118092
8094.000000000001,13.0,850.0000000000001,97.99999999999991,1171.0,23133266.53118092
8183.999999999999,13.0,760.0000000000025,277.9999999999974,1282.0,23133266.53118092
8283.0,13.0,661.0000000000013,442.9999999999988,1364.0,23133266.53118092
8358.000000000002,13.0,586.0000000000005,608.9999999999997,1476.0,23133266.53118092
8354.0,13.0,590.0000000000006,627.9999999999995,1505.0,23133266.53118092
8465.0,13.0,479.0000000000019,649.9999999999997,1476.0,23133266.53118092
8583.0,13.0,361.00000000000233,649.9999999999997,1421.0,23133266.53118092
8569.000000000002,13.0,375.0000000000012,638.9999999999989,1253.0,23133266.53118092
8346.0,13.0,598.0000000000022,439.9999999999978,1282.0,23133266.53118092
8057.000000000001,13.0,887.0000000000002,104.99999999999989,1226.0,23133266.53118092
7796.000000000001,13.0,880.0000000000001,0.0,1087.0,23133266.53118092
7636.000000000001,13.0,834.0000000000001,0.0,1030.0,23133266.53118092
7485.000000000001,13.000000000000002,857.0000000000001,0.0,1059.0,23133266.53118092
7273.0,13.000000000000002,834.0000000000001,0.0,1030.0,23133266.53118092
6893.0,13.000000000000002,1826.0,0.0,2256.0,23133266.53118092
